,,,,,,,,,,,,,,,,
Symbol,Name,Alpha (Since Inception),Historical Sharpe Ratio (3Y),Historical Sharpe Ratio (5Y),Information Ratio (vs Category) (3Y),Information Ratio (vs Category) (5Y),Daily Value at Risk (VaR) 5% (5Y Lookback),Batting Average (5Y Lookback),Batting Average (3Y Lookback),Upside/Downside Ratio (3Y),Upside/Downside Ratio (5Y),Max Drawdown (3Y),Max Drawdown (5Y),Daily Value at Risk (VaR) 5% (3Y Lookback),Global Peer Group Name,Peer Group Name
CGGO,Capital Group Global Growth Equity ETF,1.986262,0.8241,,-0.62,,,,0.527778,1.210873,,0.249003,,0.016402,Equity Global,Global Large-Cap Growth
EMF,Templeton Emerging Markets Fund,1.420859,0.5519,0.2738,0.93,0.1,0.020236,0.483333,0.5,1.003264,0.901111,0.476336,0.476336,0.019339,Equity Emerging Mkts Global,Emerging Markets Funds
IWLG,NYLI Winslow Large Cap Growth ETF,5.469088,1.1494,,0.54,,,,0.583333,1.149085,,0.231888,,0.020885,Equity US,Large-Cap Growth Funds
PCIG,Polen Capital International Growth ETF,-17.297796,,,,,,,,,,,,,Equity Global ex US,International Large-Cap Growth
S:0P00003FBE,Polen Focus Growth Composite,2.107915,0.5972,0.303,-1.36,-1.36,0,0.35,0.388889,0.818144,0.721429,0.386978,0.386978,0,,
S:0P00003FW9,Schafer Cullen High Dividend Value Eq,0.802445,0.418,0.6528,-0.37,-0.27,0,0.466667,0.416667,0.810593,0.970504,0.159322,0.161601,0,,
S:0P00003GMZ,Suncoast Equity Select Growth,2.011639,0.9444,0.6588,-0.69,-0.38,0,0.4,0.472222,1.069846,0.911154,0.296697,0.296697,0,,
S:0P00003GZ7,Sawgrass Large Cap Quality Growth Equity,1.18021,0.8521,0.722,-0.53,-0.36,0,0.433333,0.472222,0.969163,0.946664,0.233319,0.233319,0,,
S:0P00003IL0,Easterly Snow All Cap Value Equity,-4.474349,0.4316,0.7341,0.26,0.48,0,0.533333,0.444444,0.758437,1.052557,0.182817,0.189191,0,,
S:0P00003IMA,Zacks All Cap Core Strategy,1.158204,0.9045,0.8296,-0.33,0.09,0,0.483333,0.472222,0.961931,0.987454,0.224349,0.224349,0,,
S:0P00003IWR,GW&K Equity Dividend Plus strategy,-0.00166,0.5722,0.7084,-0.98,-0.34,0,0.383333,0.277778,0.873459,0.983149,0.14684,0.14684,0,,
S:0P00006V2Q,Putnam US Large Cap Value Equity,0.922707,0.833,0.9438,1.82,1.58,0,0.5,0.472222,1.010708,1.142691,0.138134,0.138134,0,,
S:0P00006VRA,Zacks Dividend Strategy,0.100694,0.4649,0.6947,-0.22,-0.13,0,0.483333,0.472222,0.815779,0.994529,0.156636,0.156636,0,,
S:0P00008DKN,Nuveen Dividend Growth,1.273423,0.7376,0.7522,-0.8,-0.3,0,0.4,0.388889,0.938268,0.970972,0.194744,0.194744,0,,
S:0P00009J7J,Brown Advisory Large-Cap Growth,-0.140971,0.6714,0.3394,-1.18,-1.27,0,0.383333,0.444444,0.841443,0.734853,0.390976,0.390976,0,,
S:0P0000J4HU,SaratogaRIM Large Cap Quality,2.292892,0.4686,0.5494,-1.24,-0.91,0,0.333333,0.361111,0.872904,0.906477,0.155148,0.155148,0,,
S:0P0000JNKL,BlackRock Equity Dividend SMA,1.183252,0.597,0.7406,0.34,0.23,0,0.433333,0.361111,0.905961,1.062366,0.159568,0.159568,0,,
S:0P0000NGKO,BlackRock Capital Appreciation (SMA),-0.107096,0.9967,0.5113,0.01,-1,0,0.45,0.555556,1.040394,0.831129,0.386615,0.386615,0,,
